Date,Narration,Chq/Ref No,Value Date,Withdrawal Amt,Deposit Amt,Closing Balance
01/11/2024,NEFT-SALARY-INFOSYS LTD,123456,01/11/2024,,85000.00,112400.00
03/11/2024,UPI-AMAZON PAY,789012,03/11/2024,1500.00,,110900.00
05/11/2024,EMI-HDFC CAR LOAN,345678,05/11/2024,8200.00,,102700.00
07/11/2024,UPI-SWIGGY,901234,07/11/2024,450.00,,102250.00
10/11/2024,ATM WITHDRAWAL,567890,10/11/2024,5000.00,,97250.00
15/11/2024,EMI-BAJAJ FINSERV,234567,15/11/2024,11300.00,,85950.00
18/11/2024,UPI-PHONEPE,890123,18/11/2024,2000.00,,83950.00
20/11/2024,NEFT-FREELANCE-CLIENT,456789,20/11/2024,,15000.00,98950.00
25/11/2024,UPI-ZEPTO,012345,25/11/2024,800.00,,98150.00
28/11/2024,CHEQUE RETURN CHARGES,678901,28/11/2024,500.00,,97650.00
01/12/2024,NEFT-SALARY-INFOSYS LTD,123457,01/12/2024,,85000.00,182650.00
03/12/2024,UPI-AMAZON PAY,789013,03/12/2024,3200.00,,179450.00
05/12/2024,EMI-HDFC CAR LOAN,345679,05/12/2024,8200.00,,171250.00
08/12/2024,UPI-SWIGGY,901235,08/12/2024,650.00,,170600.00
10/12/2024,ATM WITHDRAWAL,567891,10/12/2024,10000.00,,160600.00
15/12/2024,EMI-BAJAJ FINSERV,234568,15/12/2024,11300.00,,149300.00
20/12/2024,UPI-NETFLIX,890124,20/12/2024,649.00,,148651.00
22/12/2024,NEFT-FREELANCE-CLIENT,456790,22/12/2024,,20000.00,168651.00
26/12/2024,UPI-BLINKIT,012346,26/12/2024,1200.00,,167451.00
30/12/2024,BOUNCE CHARGES-ECS,678902,30/12/2024,500.00,,166951.00
