Date,Narration,Chq/Ref No,Value Date,Withdrawal Amt,Deposit Amt,Closing Balance
01/11/2024,TRANSFER-FROM-CORP-SALARY,SBI9921,01/11/2024,,75000.00,92000.00
02/11/2024,CASH WITHDRAWAL-ATM,ATM4401,02/11/2024,5000.00,,87000.00
04/11/2024,UPI/P2A/9384/ZOMATO,UZ9221,04/11/2024,350.00,,86650.00
05/11/2024,ACH-DEBIT-LIC-PREMIUM,LIC001,05/11/2024,2500.00,,84150.00
07/11/2024,UPI/P2P/1122/RENT-OWNER,URNT99,07/11/2024,20000.00,,64150.00
10/11/2024,UPI/P2M/5561/RELIANCE-MART,URM12,10/11/2024,4200.00,,59950.00
12/11/2024,CHQ PAID-449122-TO-LANDLORD,449122,12/11/2024,15000.00,,44950.00
15/11/2024,EMI-HOME-LOAN-SBI,SHL992,15/11/2024,18500.00,,26450.00
18/11/2024,UPI/P2A/0023/SWIGGY,USW21,18/11/2024,620.00,,25830.00
20/11/2024,BY TRANSFER-DIVIDEND,DIV921,20/11/2024,,1200.00,27030.00
22/11/2024,UPI/P2M/8812/PETROL-BUNK,UPET1,22/11/2024,3100.00,,23930.00
25/11/2024,ACH-DEBIT-IP-BROADBAND,IPB92,25/11/2024,999.00,,22931.00
28/11/2024,CASH-DEP-SELF-BRANCH,CSH11,28/11/2024,,5000.00,27931.00
30/11/2024,SMS ALERT CHARGES,SMS01,30/11/2024,15.00,,27916.00
01/12/2024,TRANSFER-FROM-CORP-SALARY,SBI9922,01/12/2024,,75000.00,102916.00
03/12/2024,UPI/P2A/4412/AMAZON,UAMZ9,03/12/2024,1200.00,,101716.00
05/12/2024,ACH-DEBIT-LIC-PREMIUM,LIC002,05/12/2024,2500.00,,99216.00
07/12/2024,UPI/P2P/3321/RENT-OWNER,URNT01,07/12/2024,20000.00,,79216.00
10/12/2024,INSUFFICIENT FUNDS-CHQ RET,RET441,10/12/2024,590.00,,78626.00
15/12/2024,EMI-HOME-LOAN-SBI,SHL993,15/12/2024,18500.00,,60126.00
